reviewer_name,rating,review_text,puskesmas_name
zulfa saputri,1 bintang,Pelayanan lama bgt. Pendaftaran aja gak cepet2 dan sering kosong itu meja pendaftaran. Semua pegawai keliatan sok repot tapi gak ada penanganan. Cuma jalan kesana kesini gajelas. Tolong diperbaiki sistemnya kasihan orang2 yg beneran sakit dan nunggu lama bgt. Termasuk saya,Puskesmas Pucang Sewu
Hartarto Junaedi,5 bintang,Petama kali mencoba puskemas pucang sewu. awalnya sih ragu2 karena image puskesmas tetapi setelah mencoba wah mantap pelayanannya cepat. pendaftaran melalui online terus tinggal ke bagian front desk dan ke klinik. kebetulan saya ke klinik gigi. pelayanan dokter ria sangat ramah dan bagus. overall cuma butuh 15 menit semuanya dengan catatan datang tepat pada waktunya,Puskesmas Pucang Sewu
Christine Dwi Natalia,4 bintang,"Bersih, nyaman, petugasnya juga ramah, cuma tidak ada monitor antrian yang jelas, jadi tidak tahu antrian sudah sampai mana..",Puskesmas Pucang Sewu
Bitaya Syah,1 bintang,Maaf sebelumnya yaa....Birokrasi nya kok semakin ruwet sih...masa mau perpanjangan surat rujukan aja harus antri panjang. padahal biasanya tidak seperti itu l.makin kesini bukannya baik malah makin  ruwet. Padahal jelas jelas cuman perpanjangan surat rujukan kan bukan periksa dan itu bukan hanya sekali ini aja lho ..... Harap di kaji ulang deh aturannya!!!,Puskesmas Pucang Sewu
新一工藤,2 bintang,Beberapa petugas kalau manggil suaranya kecil dan sering kalah sama suara dari panggilan nomer antrian.,Puskesmas Pucang Sewu
Dina Fristy Daud,5 bintang,"Pelayanannya cepat, petugas nya ramah dan tanggap. Terakhir kali saya minta rujukkan BPJS sangat di permudah dan langsung terlayani 🫰👍 …",Puskesmas Pucang Sewu
diah armiyani,5 bintang,"Pelayanan sudah terkomputerisasi dgn baik, tapi tetep ada petugas yg membantu, bersih dan teratur juga (maaf tdk bisa menjelaskan banyak, krn hanya berkunjung sebentar mengantar ortu periksa)",Puskesmas Pucang Sewu
iswati rokhayani,5 bintang,"Kegiatan cooking class untuk anak pra stanting dan stanting hari ini, alhamdulillah lancar. Tim gizi dari puskesmas juga memberikan banyak menu makanan inovasi untuk kami selaku orang tua anak pra stanting lebih banyak mendapatkan ilmu dalam menyiapkan menu makanan yang sehat, bergizi dan cepat memasaknya untuk anak². Trima kasih tim gizi puskesmas pucang sewu.",Puskesmas Pucang Sewu
Nasa Rahma,5 bintang,"Pelayanan ramah jdi pasien juga merasa nyaman dan klo mau berobat pengen ke sini lagi, maturnuwun",Puskesmas Pucang Sewu
Kevin Clement,5 bintang,Pelayanan nya cepat,Puskesmas Pucang Sewu
Mifta Royan,5 bintang,"Datang pagi langsung dilayani meskipun enggak sesuai jam estimasi...
Mantap juga jam 7 pagi sudah mulai pelayanan untuk lansia, jadi enggak lama antri 👍👍👍👍👍 …",Puskesmas Pucang Sewu
Yanuar Dwi Ramadhan,1 bintang,"Berharap dapat rujukan foto rontgen buat kaki saya karena abis cedera futsal ehh nggak dikasih malah cuman dikasih obat dan vitamin untuk ""kesekian kalinya"" kontrol di puskesmas ini setelah menunggu antrian yg begitu lamanyaa dr waktu estimasi 🤝
Masak iyaa cuman gitu gitu ajaa tindakannya. Stagnan dikasi vitamin dan obat tanpa ada tindakan 👍👍
Bayar iuran bpjs tiap bulan pun masak gaboleh diklaim buat rujukan rontgen foto saja 👍👍
Terimakasih Ibuk 👍😇",Puskesmas Pucang Sewu
Rizki F,1 bintang,"knp gak melayani ktp luar kota, atau mengurus kepentingan untuk kebutuhan di luar kota. padahal aku juga mau bayar loh. huffttt",Puskesmas Pucang Sewu
Hari Susanto,5 bintang,"Pelayanan ramah,, ruaang tunggu ny juga luas,
Murah meriah",Puskesmas Pucang Sewu
Galih Candra Prasetya,5 bintang,"Pelayanan mudah dan cepat , bisa melalui online untuk berobat atau kontrol",Puskesmas Pucang Sewu
iam adhi,5 bintang,"pelayanannya baik sekali, mulai dari pendaftaran online hingga saat pemberian obat semua dijelaskan dengan sangat baik dan ramah. tetap dipertahankan ya. semangat",Puskesmas Pucang Sewu
Aulia Dwi Septiningrum,5 bintang,"Poli KIA - Pelayanan Ramah, Cepat (sat set wat wet) 🥰 Lengkap juga, dokter dan bidannya juga baik². Terima kasih Puskesmas Pucang Sewu …",Puskesmas Pucang Sewu
okman wbw3,5 bintang,"Rekomendasi Pelayanan yang cepat, baik dan ramah pada semua pasien untuk berobat dll.",Puskesmas Pucang Sewu
Dewi Siti Aulia,5 bintang,"pelayanan baik, dulu tidak seramah ini staff dan dokter nya mungkin karna setelah di sidak bapak walikota jadi berubah lebih baik👍👍 …",Puskesmas Pucang Sewu
Avi Tia,4 bintang,"Semua pelayan ok, cuman kasih saran aja untuk pelayanan pengambilan obat ditingkatkan kembali, apabila resep dokter obat panas dengan obat yang lain dipisah tolong dipisah jangan dijadikan satu trus disuruh bl luar, kan fungsi masing-masing apa lagi buat baby. Saya pun tny sendiri Alhamdulillah dokter bijaksana dan dikasih catatan suruh pisah.(setelah apoteker tanya kedokter, lucunya lagi tunggu 1 jam karena obat puyernya 2macam, tapi cuma 1/2jam dah selesai).Terima kasih",Puskesmas Pucang Sewu
Adismara Putri Pradiri,5 bintang,"Pelayanannya ramah, pegawainya baik, lengkap juga. Pas di pinggir jalan besar jadi mudah diakses.",Puskesmas Pucang Sewu
diani tribawanti,5 bintang,"Sekarang tambah bagus tempatnya dan pelayanan nya jg cepat sesuai dengan no antrin online dan petugas nya jg ramah "".",Puskesmas Pucang Sewu
Siti Mumayyizah,1 bintang,"Minta tolong itu petugas swabnya punya masalah hidup apa ya sama pasiennya? Kayak disuruh lembur tapi gak digaji aja, gak sepenuh hati. Kasar banget pas ngeswab pasien 😭 hidung ngilu sampe sekarang. Bilangnya tarik nafas, orang baru mulai nafas langsung main sogrok aja 😭 …",Puskesmas Pucang Sewu
puput yustin,1 bintang,"Asam lambung lagi naik.
Niat mau berobat jg untuk minta surat istrahat cuma sehari.
Eeeeh malah di kasihnya surat berobat n ada keterangan tdk perlu istrahat🤬 …",Puskesmas Pucang Sewu
weni lukita,5 bintang,vaksin bosster dosis 2 disini ok dan cepat. saya ditinggal dilarsantri tp dilayani disini dengan baik thx,Puskesmas Pucang Sewu
Sudibyo Hari Purnomo,5 bintang,"Kondisi bangunan sekarang jauh lebih bagus dari yang lama. Lebih bersih dan tertata rapi. Satpam nya ramah,  demikian juga petugas psramedisnya dan petugas medisnya ramah.  Poli giginya bagus bersih dan nyaman.  Dokter giginya mapun paramedisnya baik dan ramah. Pengaturan untuk minta rujukan sekarang lebih mudah dan cepat. Dengan pendaftaran sistem on line lebih menghemat waktu.  Pasiennya sekarang tambah banyak lebih banyak dari sebelum BJPS kesehatan diberlakukan. Saya pernah menunggu lama untuk minta rujukan dan setelah saya tanyakan masalahnya ada pada catatan medis saya yang belum ketemu (ketlisut). Saya bisa memaklumi karena ini bukan kesalahan pelayanan tapi masalah kearsipan saja dan ini hanya terjadi kadang kadang saja. Dari dulu saya memilih Puskesmas ini sebagai tempat pengobatan dengan memanfaatkan Askes yang sekarang menjadi BJPS kesehatan.",Puskesmas Pucang Sewu
Epri Afansja,5 bintang,Kegiatan posbindu timbang badan tinggi badan dan tensi warga Rt 06 Rw 10 kel.ketahuan kec.Gubeng,Puskesmas Pucang Sewu
Trisce Felery,1 bintang,Terlalu lama. Puskesmas buka jam 8 hingga jm 8 lbh. Padahl tertulis jm 7.30. Tidak ada informasi yang jelas terkait penanganan TB. Harus datang berulang2 kali tetap saja tidak ada hasil. Jadwal TB hari jumat n sabtu tetap saja tidak bisa langsung mendapatkan obat.,Puskesmas Pucang Sewu
Arlian,1 bintang,"Penggunaan sistem antrian online sangat lama,padahal tidak ada orang yg melakukan pengecekan..disini saya mengira antriannya bisa dibikin palsu sehingga pekerja yg dipuskemas bisa malas""an",Puskesmas Pucang Sewu
Elok Ayu Kinanti,1 bintang,"Hari ini tgl 8/2/22 sangat dgn hormat saya smpaikan kepada Bpk Eri, pelayanan di PUSKESMA PUCANG SANGAT TIDAK BAIK. TIDAK ADA ETITUDE SAMA SEKALI.
1. Waktu tidak sesuai dgn nomer antrin, sehingga berkerumun.
2. Cara berbicara atau pelayanan yg tidak baik (kita dtg dgn baik2, namun penanggapan seperti org tdk pernah sekolah)
3. Tidak tertata, priksa kehamilan juga tdk di priksa sama sekali.

Berbeda sekali dengan puskesmas Mojo.. Yg sangat2 RAMAH.",Puskesmas Pucang Sewu
PARIANTO PARIANTO,2 bintang,"Ruang pendaftaran ga teratur, lumayan lama, ruangannya tertutup ada 2 ac tp ga di nyalakan semua. Sauna sudah, kira2 ac nya buat apa ya",Puskesmas Pucang Sewu
MAS FREN FRENDIKA,2 bintang,"Fasilitasnya lumayan , tapi sayang banget, kurang dioptimalkan.... padahal tersedia nomor antrian online dan digital, tapi petugas nya hanya memanggil via speaker, dan tidak meng update No Antrian di layar monitor nya,
Jadi pasien harus bolak balik tanya no antria nya.., soalnya No antrian di monitor nya tdk update... hmmm..",Puskesmas Pucang Sewu
yasmine Tiara putri,5 bintang,"Untuk class room Pucang Sewu resep yg di berikan dan di praktekkan jos,semangat untuk MB.inzati dan MB daya untuk ide2nya .",Puskesmas Pucang Sewu
Ashalina E.C,1 bintang,"Saya kecewa dengan pelayanan puskesmas pucang sewu. Hari ini saya datang ke puskesmas untuk minta surat keterangan sehat. Tetapi saya diharuskan menunggu sampai hampir 1 jam. Padahal keadaan puskesmas sepi. Hanya ada beberapa orang saja. Tetapi kita harus menunggu sampai banyak orang yang datang dan dipanggil sekaligus.
Pertanyaan saya kenapa kok tidak langsung saja ditangani padahal tidak banyak pasien. Lalu jika ada pasien parah apakah harus menunggu selama itu untuk menyelamatkan nyawa? Dan lebih menjengkelkan lagi ada seorang remaja cina yg baru datang lalu ke pendaftaran untuk minta surat keterangan bebas TBC kemudian tanpa antri langsung masuk ke poli umum dimana saya yg sudah sedari tadi menunggu 50menit belum dipanggil. Tolong donk jangan tebang pilih!!",Puskesmas Pucang Sewu
Rohmad Basuki,2 bintang,"Pelayann kurng bagus gan..
Lelet bngt..
Dn pling saya gak suka.  Masa pintu masuk berobat kaya pintu keluar masok bebas kali...

Pelayanan harus di maksiml kn..  Kasian pasien yng antri...
Pintu y sih ada tulisan mohon di tutup kembali tpi ko buka tutup bebas.    Kurng seportif",Puskesmas Pucang Sewu
mutmainah,1 bintang,"pegawainya lemot, dari kemarin minta surat rujukan disuruh ambil jam 8, tapi tetap belum di buatkan, mohon untuk pemerintah naikkan gaji pegawainya agar tidak lemot, puskesmas sangat tidak disiplinn",Puskesmas Pucang Sewu
Nadhira Inastiti,5 bintang,"pelayanannya cepat, petugasnya pun ramah-ramah dan sangat informatif. tempatnya juga enak di pinggir jalan.",Puskesmas Pucang Sewu
midha masruroh,1 bintang,"Petugas tidak menuliskan bb dn tb anak pada kms
Pernah sekali saya tanya ""mbak minta tlong catet di buku"" jawabanya ""oh g usah bu,krn timbangan ini gak akurat,jd ke posyandu aja"" tk jwab ""posyandu lg g ada mbk krn covid ini"" jawabnya "" tunggu sampe ada aja gpp bu""
Lah,trus ngpain aku di kasih kms klo g prnah d catetin  😖",Puskesmas Pucang Sewu
anna y,5 bintang,"Saya sangat puas dengan pelayanan Puskemas Pucang Sewu, baik dari informasi kesehatan saya, dokternya melayani dgn baik, baik di bagian pendafataran juga sangat baik dan juga  dlm penerimaan obatpun saya sangat puas. Terima kasih.- tempatnya juga bersih dokter selalu ada setiap saat.",Puskesmas Pucang Sewu
yanry Kanny,5 bintang,Trima kaih bnyak bu dokter untuk pertolongan vaksinnya... Surabaya pelayanan ramah,Puskesmas Pucang Sewu
Rendy Antony,1 bintang,"Hari biasa Jam opr tertera tutup 17:30 kecuali jumat & sabtu , tapi kenapa ??? Pada hari biasa (rabu) kemarin saya kesana utk berobat tidak dilayani padahal saya datang jm 13:40 dgn alasan rapat dll , dan disuruh datang lagi hari kamis pagi lngsng masuk gaperlu antri (hanya pemanis)
Apa benar cara pelayanan masyarakat seperti ini & jm opr yg gajelas menurut saya ? GAK MASOK",Puskesmas Pucang Sewu
Intan Belina,2 bintang,Kontrol kehamilan mulai usia 1bulan-masuk usia kandungan 4 bulan dokternya selalu bilang detak jantung belum ada padahal tidak diusg dan juga ditidak diperiksa bagian perut saya? Apa memang begitu prosedur pemeriksaan atau tenaga medisnya yang kurang canggih?,Puskesmas Pucang Sewu
Alifia Faza,5 bintang,"pelayanan di puskesmas ini sangat baik, alur administrasinya lancar, ruang tunggunya nyaman😀 …",Puskesmas Pucang Sewu
Poetri Yek,5 bintang,"terimakasih banyak pelayanan baek ,luka kaki saya sembuh ,dokter dan perawat super sabar",Puskesmas Pucang Sewu
Paulina Iwung,5 bintang,"pelayanan nya bagus,walaupun kami berasal dari luar pulau jawa,tapi ttp di layani dgn baik",Puskesmas Pucang Sewu
Nita,5 bintang,Mohon Info nomor wa atau apapun yg bisa dihubungi ?? Mau tanya jadwal imunisasi untuk newborn,Puskesmas Pucang Sewu
Lilik Sun,5 bintang,"Pelayanan poli kia cepat, petugasnya cantik dan sabar. Bidan kelurahannya baik",Puskesmas Pucang Sewu
Erlangga Kipli,5 bintang,"Pelayanan vaksin cepat, ramah, petugas bu patria baik banget",Puskesmas Pucang Sewu
Riva Akhnafsyah,2 bintang,"Baru pertama kali masuk ke puskesmas ini disambut dengan tidak ramah, bertanya untuk berobat jawabnya dengan nada tinggi, saya tahu kalian lelah tapi ya dipikirlagi yang kalian layani adalah orang yang sakit. Itu baru 2 orang pelayanan kaya gitu.",Puskesmas Pucang Sewu
RISCHI DIANITA,1 bintang,"Saya tidak puas tentang sistem antrian vaksin covid dipuskesmas ini, sudah 2x suami saya di tolak karena kuota penuh, padahal datang jam 05.30 dan posisinya masih ada 20 orang, mohon bapak eri dipantau atau sistem antriannya di jadikan online jadi kalau sudah penuh, pilih tanggal/hari yang lain jadi tidak berkerumun ke puskesmas!!!!!!!! HARAP SARAN SAYA BISA DI JADIKAN UNTUK PERBAIKAN PELAYANAN DI PUSKESMAS INI!!",Puskesmas Pucang Sewu
Onya,1 bintang,"Kasar betul nakesx 👎anak sy antigen lgsg nusuk tanpa aba"" kaget and sakit hidung anak sy. Payah nakes kyk gini. Pak Eri tolong lah ditegur pelayananx sangat buruk di puskesmas ini.. Apa ga di ajarin di sekolah keperawatan tata krama ato sdh biasa kasar ya?? …",Puskesmas Pucang Sewu
arysta amalia,5 bintang,"Kalau mau imunisasi tiap senin bisa ke nginden kota gang 3, jam 8 -10",Puskesmas Pucang Sewu
Hello Artie,2 bintang,"Pemanggilan nomor antrean tidak jelas sehingga susah mengetahui antreannya sudah sampai nomor berapa.
Namun pelayanan dokter cukup baik dan petugasnya cukup telaten. Semoga ditambah lagi petugasnya agar tidak terjadi penumpukan antrean yg tidak wajar.",Puskesmas Pucang Sewu
Muslim in Tokyo,1 bintang,"Vaksin D3 di sini, suntik vaksinnya cepat sekali, tetapi data entrynya lamaaaaa sekali.....",Puskesmas Pucang Sewu
David Ompusunggu,5 bintang,"Pelayan puskesmas pucang sewu sangat baik dan dokter selalu ada setiap saat, pendaftaran juga ramah dan dokter memberikan info kesehatan saya baik  dan tempat lingkungan bersih dan rapi.",Puskesmas Pucang Sewu
soleh jese,1 bintang,Pelayanan lama/ dokter nya jam 8:31 belum Dateng2,Puskesmas Pucang Sewu
Bu Juariyah,5 bintang,"Saya selalu puskesmas pucang, pelayanan dengan baik dan ramah, skrg saya sudah lansia..",Puskesmas Pucang Sewu
Ana Hendrik,5 bintang,"Ada usg mempermudah periksa hamil, bidan kelurahan barata nya ramah👍 …",Puskesmas Pucang Sewu
Yohana Gikig,5 bintang,"Baru pertama ke puskesmas Pucang, agak kaget skrng pelayanan puskesmas bagus banget, semua ramah, mudah, nyaman, bersih.
Yuk ke puskesmas aja 👍 …",Puskesmas Pucang Sewu
Saals,5 bintang,Pelayanan poli gigi nya ramah baik dan rapi di arahkan untuk swab dulu lalu Pelayanan swab tertata baik dan teratur top lah pokoknya👍 …,Puskesmas Pucang Sewu
William Bowden,2 bintang,"pelayanan lebih lama dari estimasi, pintu kamar mandi tidak bisa di kunci, mohon segera diperbaiki layanan dan fasilitasnya",Puskesmas Pucang Sewu
Nurul Muslichah,5 bintang,"Pelayanannya baik, petugasnya super ramah dan pelayanan memuaskan👍 …",Puskesmas Pucang Sewu
eviani bian,4 bintang,"Murah dftar tmpa bpjs 5rban pdnft bru buat bumil priksa prtma kali vek darah urine, pmriksaan gigi ..p fisik ngk nyampe 25.... Klu pke bpjs gratis...
Smoga deby shat2 bumil amin",Puskesmas Pucang Sewu
Nanda Eni,5 bintang,"Pelayanan sangat bagus...cepet ...nakesnya ramah ""...makasih",Puskesmas Pucang Sewu
ONIKE Channel,5 bintang,"Pelayanan buat vaksin booster 2.
Ramah dan menyenangkan",Puskesmas Pucang Sewu
Ramara-ayux Rahayu,5 bintang,"Tempatnya nyaman, bersih pelayanan bagus,...petugasnya ramah👍🙏 …",Puskesmas Pucang Sewu
Rini Putra Alhamda,5 bintang,"Bagus,, pelayanan nya skr cepat..
Tempat nya bersih,, petugas ramah",Puskesmas Pucang Sewu
Selvi Ati,4 bintang,"pelayanan bagus respon petugas dr parkir,pengabilan no antrian,pendaftaran,& perawat jg dokter memuaskan.bravo love u puskesmas pucang sewu",Puskesmas Pucang Sewu
N,5 bintang,"Awalnya mau swab pcr disini karena habis bepergian dari luar kota, ternyata gabisa. Swab pcr di puskesmas hanya melayani orang yg kontak erat dengan pasien positif dan ibu hamil. Lalu disarankan swab pcr langsung di Labkesda Gayungan.",Puskesmas Pucang Sewu
tri poerwati,5 bintang,"Pelayanannya bagus, petugasnya sabar, proposional, lokasinya bersih dan rapi.",Puskesmas Pucang Sewu
yulia ulviana,1 bintang,"Pelayanannya amat sangat buruk ,,udah tau ini urgent nahan sakit situ nanya loker ,gitu kok kerja di tempat pelayanan si mbak ,
LEMOT",Puskesmas Pucang Sewu
Umu Hani,5 bintang,Sekarang sudah nyaman sekali..bersih pelayanan nya ramah,Puskesmas Pucang Sewu
Hurindina Hanuni,5 bintang,"Petugas berpengalaman, ramah dan informatif. Dibantu apabila kesulitan. Mantap",Puskesmas Pucang Sewu
Lina Ridwan,5 bintang,Pelayanan baik. Dan sudah sangat cepat dalam membantu,Puskesmas Pucang Sewu
Januar Azka,5 bintang,"Pelayanan sangat bagus dan memuaskan,, tempatnya sekarang juga nyaman,,",Puskesmas Pucang Sewu
Valentino Rizki,5 bintang,"Pelayanan cepat, petugasnya Bidan Patria cantik bldan baik",Puskesmas Pucang Sewu
Kasmanto Surabaya,5 bintang,Berkunjung ke nginden kota gang 3 ada imunisasi balita di hari senin,Puskesmas Pucang Sewu
Dariyati Dariyati,5 bintang,"Saya suka , layanan nya bagus & cepat,lepas KB spiral tidak biaya,dan tidak terasa sakit,saya puas, dokternya juga ramah dan menyenangkan.terima kasih",Puskesmas Pucang Sewu
Meysha Putri,5 bintang,"Saya pasien baru"" bln ini.  Tpi saya sdh bolak balik ke puskesmas pucang sewu.  dri  poli Kia, laborat, poli gigi,  smunya baik"" dan pegawainya ramah"" aku suka.  &  sangat suka.
Terimakasih 🙏🙏🙏
Poli gigi hari kamis buka sampe jam berapa?",Puskesmas Pucang Sewu
Inur Harijaty,5 bintang,"Pelayananya sat set
Dokter dan kru ramah ramah
Top pokok e",Puskesmas Pucang Sewu
KEVIN BASP,1 bintang,"pelayanan nya sangat jelek, mentang2 kerja disitu sak penak e jidat",Puskesmas Pucang Sewu
李瑞锦,4 bintang,"Cukup bersih namun perlu lebih jelas tentang panggilan antrian di poli, serta kejelasan jam mulai praktek dokternya.",Puskesmas Pucang Sewu
Faaiza Naurah Mutazkiah,5 bintang,"Pelayanan nya cepat, dokter dan susternya ramah-ramah",Puskesmas Pucang Sewu
Putri,1 bintang,Pelayanan administrasi sangat lama,Puskesmas Pucang Sewu
Indra Gunawan,1 bintang,"Tdk Sesuai dgn yg antrian online..... Nunggu lama & para pegawai bnyak yg ngbrol"".... Tolong Pemkot SBY sidak puskesmas ini....",Puskesmas Pucang Sewu
Eva s Farra,1 bintang,Mohan pelayanan nya di tingkatkan lagi ya jangan meremehkan hal kecil dan untuk di daerah pendaftaran kalau semisal kualahan knp tidak cari karyawan lagi akibat nya ke pasien 😠 …,Puskesmas Pucang Sewu
Yohana Melania,1 bintang,"Bad service. Boleh handle orang banyak , tp perlakuan pegawai dan dokter nya sinis. Tidak bisa sabar. Memang semua pegawai pemerintah apakah seperti itu ya",Puskesmas Pucang Sewu
mutiara indah,5 bintang,Vaksin di pkm pucang dilayani dengan baik. Pelayanan lainnya juga bagus.,Puskesmas Pucang Sewu
Budi Rachmanto,4 bintang,"dari proses daftar sampai ambil obat sekitar 2.5 jam, waktu yang normal, pelayanan baik, tempat bersih.",Puskesmas Pucang Sewu
Henny Marlina,1 bintang,"Swab dari hari sabtu,sampe sekarang hari selasa gak ada kabar tentang hasil.slh1 petugas puskesmas nya diWA dari hari senin,sengaja gak dibaca WA nya.",Puskesmas Pucang Sewu
Amelia Rachmad Nurhalisah,5 bintang,"Pelayanan super ramah, cepat, tempat nyaman dan bersih",Puskesmas Pucang Sewu
MoU Chanel,5 bintang,"Fasilitas pemerintah bagi yg belum vaksin silakan berkunjung ke puskesmas pucangsewu, pelayanan enak dan ramah ramah",Puskesmas Pucang Sewu
Winarsih Winarsih,5 bintang,"Bu Patria semangat terus, tampilkan senyum paling cantik dan manis...",Puskesmas Pucang Sewu
Ananda Kalpica Maharani,5 bintang,"Pelayanan poli gigi baik dan ramah, dianjurkan untuk swab terlebih dahulu, pelayanan swab teratur dan ramah",Puskesmas Pucang Sewu
Achmad Machrus,1 bintang,"puskesmas nomer 1 di kota surabaya, nih saya kasih 1 bintang",Puskesmas Pucang Sewu
L,5 bintang,Pelayanan dokter poli giginya sangat baik dan ramah,Puskesmas Pucang Sewu
Arina Elhaq,5 bintang,"Bikin surat sehat disini dan kagett karena pelayananya friendly abizz, bintang 5!!",Puskesmas Pucang Sewu
Christy Anasthashia Christanto,1 bintang,"Ampun deh, nelp nggak ada yang angkat...
Pegawainya kemana semua?
Ada hampir 20x nelp nggak di angkat padahal jam 10.00 pagi dan hari senin...",Puskesmas Pucang Sewu
Herlina aja,5 bintang,Pelayanan best semoga memberikan pelayanan yang baikkk,Puskesmas Pucang Sewu
Wahyuningsih Saja,5 bintang,Semoga bisa memperhatikan Pasien nya yg perlu bantuan,Puskesmas Pucang Sewu
yuan 05,5 bintang,"Bidannya bantuin administrasi,dimudahkan ,sabar cantik top dah",Puskesmas Pucang Sewu
TANAH AIRKU,5 bintang,"Suka bgt sm pelayanannya..semuanya ramah..dari tkg parkir,staff dan dokternya..",Puskesmas Pucang Sewu
Otim Sak,5 bintang,"Pelayanan bagus, bidan dan dokter ramah",Puskesmas Pucang Sewu
Muhammad Tri Aditya,4 bintang,"Pelayanannya perlu ditingkatkan lagi, biar warga makin banyak yang menilai positif",Puskesmas Pucang Sewu
abee net,5 bintang,"Pelayanan bagus, dokternya selalu ada, ruangan bersih",Puskesmas Pucang Sewu
Achong Arsa,5 bintang,"bagus pelayanannya , kalender dan foto2nya juga bagus",Puskesmas Pucang Sewu
Noroso Hidajat,5 bintang,Nakesnya ramah2 segala sesuatunya yg mengerjakan nakesnya halaman puskesmasnya luas sehingga memenuhi syarat protokol kesehatan,Puskesmas Pucang Sewu
2130019059 SABRINA ANINDYA ANISAFITRI,5 bintang,"karyawan ramah - ramah, petugas mahirr, mantap pokoknyaa🤝 …",Puskesmas Pucang Sewu
soe narsih,5 bintang,Rw 5 Baratajaya sangat senang dengan pelayanan kesehatan puskesmas pucang mantap,Puskesmas Pucang Sewu
KUCING CANTIK,1 bintang,Buseettt tembus 3 jam lebih ... masih dalam proses antri pendaftaran baru ..nyeriiiiii pollll,Puskesmas Pucang Sewu
25. Nayaka Syahidah,5 bintang,"Pelayanannya baik, dokternya ramah, ruangan bersih",Puskesmas Pucang Sewu
nur mega,1 bintang,"parah banget pelayanan nya, sya sudah nunggu 2 jam tidak dilayani, padahal sebelum saya sudah masuk",Puskesmas Pucang Sewu
Adinda Novira Firdausi,5 bintang,Pelayanan vaksin baik dan teratur. Pelayanan gigi baik dan ramah. Good 👍🏼👍🏼👍🏼 …,Puskesmas Pucang Sewu
Reg B_18_Nur Fathiya Umaiyah,5 bintang,"Pelayanan yang sangat baik, tempat bersih",Puskesmas Pucang Sewu
Widayu Celo,5 bintang,"Bidan Barata ramah, kalo ditanya2 fast respon 😊 …",Puskesmas Pucang Sewu
Spider man,5 bintang,"Pelayanan ramah, cepat dan profesional. Mantap",Puskesmas Pucang Sewu
Sri Sulastri,5 bintang,Selalu cepat dan tanggap dlm berkiprah. Trima kasih.🙏🙏 …,Puskesmas Pucang Sewu
Saiful Rizal,5 bintang,Pelayanan yg memuaskan dengan staf yg ramah😊🌿 …,Puskesmas Pucang Sewu
Thomas Holly,5 bintang,"Kak bisa minfa info vaksin Astra ga
Klo ada kabarin dong",Puskesmas Pucang Sewu
Jeffry Tanugraha,4 bintang,"Utk vaksin pelayanannya cpt, karena sudah jarang yg butuh vaksin.",Puskesmas Pucang Sewu
fika a,5 bintang,"Pelayanannya cepat, petugasnya ramah",Puskesmas Pucang Sewu
lical edi,5 bintang,"Pelayanannya Ramah, Terimakasih untuk para staf",Puskesmas Pucang Sewu
Frusya Pradhastri,5 bintang,Semoga pelayanannya semakin baik 👍👍 …,Puskesmas Pucang Sewu
Junik Ekowati,5 bintang,Alur pelayanan bagus dan petugas cantik2.... 👍👍👍👍👍 …,Puskesmas Pucang Sewu
Nur Arie,5 bintang,Tempat nyaman dan perawat nya ramah,Puskesmas Pucang Sewu
rizqi amin,1 bintang,Puskesmas kekurangan tenaga (perawat bedah) jadi kasian yang nunggu Rawat luka sampai siang..dengan alasan masih kekurangan tenaga rawat luka,Puskesmas Pucang Sewu
Deasy Nam,3 bintang,maaf apa masih melayani pembuatan surat ket. sehat untuk persyaratan melamar kerja?,Puskesmas Pucang Sewu
Suparmi Mamik,5 bintang,Puskesmas pucang sewu sllu melayani warga dengan baik.,Puskesmas Pucang Sewu
Ira Yuly,5 bintang,Pelayanan nya baik sekali,Puskesmas Pucang Sewu
Hendrik Prasetya,5 bintang,"pelayanan cepat dan tanggap
terima kasih",Puskesmas Pucang Sewu
Eyang Soegito,5 bintang,Sangat bagus pelayanan dan fasilitasnya,Puskesmas Pucang Sewu
supri hatin,5 bintang,Petugas ramah dan profesional . Mantap,Puskesmas Pucang Sewu
Rynita Devi,5 bintang,"Pelayanannx cepat ,ramah n baik, bersih n strategis,,👍👍👍👌👌 …",Puskesmas Pucang Sewu
Malita Siti Rahmawati,5 bintang,Semoga selalu jadi yg terbaik ⭐,Puskesmas Pucang Sewu
fajar bimawan,5 bintang,Pelayanan bagus bagus.. Tolong lebih ditingkatkan untuk pelayanan masyarakat umum,Puskesmas Pucang Sewu
Abang Adek,5 bintang,Bagus.. lumayan lengkap untuk ukuran puskesmas..,Puskesmas Pucang Sewu
Qeyla Umami,5 bintang,"Puskesmas Pucang Sewu pelayanan bagus,, petugasnya pun ramah2 terimakasih untuk petugas yang melayani dengan baik 🙏 …",Puskesmas Pucang Sewu
Edbert Juan,1 bintang,Mau vaksin diperibet buat orang yang niat vaksin sekarang udah masa bodo dengan vaksin,Puskesmas Pucang Sewu
Yuni Indria,5 bintang,pelayanan baik bgt,Puskesmas Pucang Sewu
Andre De Prito,5 bintang,Bisa ambil nomor antrian online untuk menghindari kerumunan di puskesmas,Puskesmas Pucang Sewu
Novia listi,5 bintang,"Puskesmas terbaik,",Puskesmas Pucang Sewu
